"activity_id,""athlete_id"",""club_id"",""event_status"",""event_status_presence"",""first_name"",""foster_load"",""last_name"",""rpe"",""rpe_effective_time"",""sport_id"",""total_trimp"",""zone_1_time"",""zone_2_time"",""zone_3_time"",""zone_4_time"",""zone_5_time"",""trmittel_general"",""trmittel_nordisch"""
"47107,46,6,Available,1,CrossCountry,,Athlete,,,9,130.000000000,""01:50:00"",""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"47118,46,6,Available,1,CrossCountry,,Athlete,,,9,186.000000000,""01:37:00"",""00:40:00"",""00:03:00"",""00:00:00"",""00:00:00"",,Rollski"
"47119,46,6,Available,1,CrossCountry,,Athlete,,,9,114.000000000,""00:57:00"",""00:27:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
"47121,46,6,Available,1,CrossCountry,,Athlete,,,9,155.000000000,""01:15:00"",""00:40:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"47127,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"47134,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"47137,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,"
"47143,46,6,Available,1,CrossCountry,,Athlete,,,9,172.000000000,""01:04:00"",""00:12:00"",""00:12:00"",""00:12:00"",""00:00:00"",,Rollski"
"47146,46,6,Available,1,CrossCountry,,Athlete,,,9,198.000000000,""00:54:00"",""00:54:00"",""00:12:00"",""00:00:00"",""00:00:00"",,Rollski"
"47235,46,6,Available,1,CrossCountry,,Athlete,,,9,221.000000000,""00:56:00"",""00:11:00"",""00:09:00"",""00:29:00"",""00:00:00"",,Fusslauf"
"47236,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"47446,46,6,Available,1,CrossCountry,,Athlete,,,9,20.000000000,""00:20:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47449,46,6,Available,1,CrossCountry,,Athlete,,,9,144.000000000,""01:36:00"",""00:24:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"47457,46,6,Available,1,CrossCountry,,Athlete,,,9,566.000000000,""00:47:00"",""01:00:00"",""00:53:00"",""01:00:00"",""00:00:00"",Rennvelo,"
"47460,46,6,Available,1,CrossCountry,,Athlete,,,9,95.000000000,""01:25:00"",""00:05:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47476,46,6,Available,1,CrossCountry,,Athlete,,,9,210.000000000,""02:30:00"",""00:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"47478,46,6,Available,1,CrossCountry,,Athlete,,,9,75.000000000,""01:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47483,46,6,Available,1,CrossCountry,,Athlete,,,9,118.000000000,""01:02:00"",""00:28:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47484,46,6,Available,1,CrossCountry,,Athlete,,,9,162.000000000,""00:54:00"",""00:12:00"",""00:12:00"",""00:12:00"",""00:00:00"",,Rollski"
"47487,46,6,Available,1,CrossCountry,,Athlete,,,9,280.000000000,""01:03:00"",""01:14:00"",""00:23:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"47489,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"47492,46,6,Available,1,CrossCountry,,Athlete,,,9,112.000000000,""00:32:00"",""00:34:00"",""00:04:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47493,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47497,46,6,Available,1,CrossCountry,,Athlete,,,9,219.000000000,""00:17:00"",""00:47:00"",""00:36:00"",""00:00:00"",""00:00:00"",,Rollski"
"47498,46,6,Available,1,CrossCountry,,Athlete,,,9,158.000000000,""00:07:00"",""00:53:00"",""00:15:00"",""00:00:00"",""00:00:00"",,Rollski"
"47499,46,6,Available,1,CrossCountry,,Athlete,,,9,60.000000000,""01:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47779,46,6,Available,1,CrossCountry,,Athlete,,,9,60.000000000,""01:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47959,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47960,46,6,Available,1,CrossCountry,,Athlete,,,9,148.000000000,""00:37:00"",""00:10:00"",""00:08:00"",""00:08:00"",""00:07:00"",,Rollski"
"47961,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47962,46,6,Available,1,CrossCountry,,Athlete,,,9,20.000000000,""00:20:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"47963,46,6,Available,1,CrossCountry,,Athlete,,,9,73.000000000,""00:07:00"",""00:03:00"",""00:05:00"",""00:05:00"",""00:05:00"",,Rollski"
"47964,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"48103,46,6,Available,1,CrossCountry,,Athlete,,,9,30.000000000,""00:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"48104,46,6,Available,1,CrossCountry,,Athlete,,,9,30.000000000,""00:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"48272,46,6,Available,1,CrossCountry,,Athlete,,,9,180.250000000,""00:50:00"",""01:05:00"",""00:00:05"",""00:00:00"",""00:00:00"",,Rollski"
"48273,46,6,Available,1,CrossCountry,,Athlete,,,9,67.000000000,""00:23:00"",""00:22:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"48434,46,6,Available,1,CrossCountry,,Athlete,,,9,115.000000000,""01:05:00"",""00:25:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"48563,46,6,Available,1,CrossCountry,,Athlete,,,9,380.000000000,""03:35:00"",""00:45:00"",""00:25:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"48607,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"48651,46,6,Available,1,CrossCountry,,Athlete,,,9,113.000000000,""00:57:00"",""00:28:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"48898,46,6,Available,1,CrossCountry,,Athlete,,,9,90.000000000,""01:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"49025,46,6,Available,1,CrossCountry,,Athlete,,,9,210.000000000,""00:59:00"",""00:34:00"",""00:25:00"",""00:02:00"",""00:00:00"",,Rollski"
"49045,46,6,Available,1,CrossCountry,,Athlete,,,9,50.000000000,""00:40:00"",""00:05:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"49701,46,6,Available,1,CrossCountry,,Athlete,,,9,125.000000000,""01:55:00"",""00:05:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"50277,46,6,Available,1,CrossCountry,,Athlete,,,9,305.000000000,""00:43:00"",""00:46:00"",""00:16:00"",""00:28:00"",""00:02:00"",,Fusslauf"
"50280,46,6,Available,1,CrossCountry,,Athlete,,,9,223.000000000,""01:40:00"",""00:57:00"",""00:03:00"",""00:00:00"",""00:00:00"",,Rollski"
"50510,46,6,Available,1,CrossCountry,,Athlete,,,9,40.000000000,""00:20:00"",""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"50513,46,6,Available,1,CrossCountry,,Athlete,,,9,213.000000000,""00:37:00"",""01:13:00"",""00:10:00"",""00:00:00"",""00:00:00"",,Rollski"
"50571,46,6,Available,1,CrossCountry,,Athlete,,,9,88.000000000,""00:32:00"",""00:28:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"51422,46,6,Available,1,CrossCountry,,Athlete,,,9,138.000000000,""00:11:00"",""00:21:00"",""00:27:00"",""00:01:00"",""00:00:00"",,"
"51423,46,6,Available,1,CrossCountry,,Athlete,,,9,216.000000000,""02:24:00"",""00:36:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"51424,46,6,Available,1,CrossCountry,,Athlete,,,9,303.000000000,""00:37:00"",""00:43:00"",""00:40:00"",""00:15:00"",""00:00:00"",,Rollski"
"51425,46,6,Available,1,CrossCountry,,Athlete,,,9,66.000000000,""00:54:00"",""00:06:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"52125,46,6,Available,1,CrossCountry,,Athlete,,,9,60.000000000,""01:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"52865,46,6,Available,1,CrossCountry,,Athlete,,,9,194.000000000,""00:57:00"",""00:52:00"",""00:11:00"",""00:00:00"",""00:00:00"",,Rollski"
"52866,46,6,Available,1,CrossCountry,,Athlete,,,9,253.000000000,""01:07:00"",""01:03:00"",""00:20:00"",""00:00:00"",""00:00:00"",,Rollski"
"52909,46,6,Available,1,CrossCountry,,Athlete,,,9,148.000000000,""01:32:00"",""00:28:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"53130,46,6,Available,1,CrossCountry,,Athlete,,,9,215.000000000,""01:04:00"",""00:09:00"",""00:15:00"",""00:22:00"",""00:00:00"",,Fusslauf"
"53180,46,6,Available,1,CrossCountry,,Athlete,,,9,45.000000000,""00:45:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"53284,46,6,Available,1,CrossCountry,,Athlete,,,9,106.000000000,""01:15:00"",""00:14:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
"53285,46,6,Available,1,CrossCountry,,Athlete,,,9,71.000000000,""00:49:00"",""00:11:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"53700,46,6,Available,1,CrossCountry,,Athlete,,,9,410.000000000,""01:40:00"",""02:20:00"",""00:10:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"53703,46,6,Available,1,CrossCountry,,Athlete,,,9,65.000000000,""00:35:00"",""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",,"
"53755,46,6,Available,1,CrossCountry,,Athlete,,,9,160.000000000,""02:20:00"",""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"53931,46,6,Available,1,CrossCountry,,Athlete,,,9,228.000000000,""01:49:00"",""00:16:00"",""00:13:00"",""00:12:00"",""00:00:00"",,Rollski"
"54058,46,6,Available,1,CrossCountry,,Athlete,,,9,30.000000000,""00:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"54154,46,6,Available,1,CrossCountry,,Athlete,,,9,205.000000000,""03:15:00"",""00:05:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"54645,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"54649,46,6,Available,1,CrossCountry,,Athlete,,,9,15.000000000,""00:15:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"54750,46,6,Available,1,CrossCountry,,Athlete,,,9,285.000000000,""00:52:00"",""00:43:00"",""00:13:00"",""00:27:00"",""00:00:00"",,Rollski"
"55017,46,6,Available,1,CrossCountry,,Athlete,,,9,20.000000000,""00:20:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"55227,46,6,Available,1,CrossCountry,,Athlete,,,9,209.000000000,""02:31:00"",""00:29:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"55289,46,6,Available,1,CrossCountry,,Athlete,,,9,120.000000000,""02:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"55425,46,6,Available,1,CrossCountry,,Athlete,,,9,90.000000000,""01:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"56657,46,6,Available,1,CrossCountry,,Athlete,,,9,151.000000000,""01:30:00"",""00:29:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
"56696,46,6,Available,1,CrossCountry,,Athlete,,,9,185.000000000,""01:26:00"",""00:08:00"",""00:21:00"",""00:05:00"",""00:00:00"",,Fusslauf"
"57255,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"57260,46,6,Available,1,CrossCountry,,Athlete,,,9,214.000000000,""00:34:00"",""00:48:00"",""00:28:00"",""00:00:00"",""00:00:00"",,Rollski"
"57281,46,6,Available,1,CrossCountry,,Athlete,,,9,210.000000000,""03:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"57405,46,6,Available,1,CrossCountry,,Athlete,,,9,20.000000000,""00:20:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"57409,46,6,Available,1,CrossCountry,,Athlete,,,9,20.000000000,""00:20:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"57505,46,6,Available,1,CrossCountry,,Athlete,,,9,177.000000000,""01:04:00"",""00:55:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
"57631,46,6,Available,1,CrossCountry,,Athlete,,,9,30.000000000,""00:30:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Fusslauf"
"57632,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"57633,46,6,Available,1,CrossCountry,,Athlete,,,9,155.000000000,""00:40:00"",""00:15:00"",""00:15:00"",""00:10:00"",""00:00:00"",,Rollski"
"57634,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Fahrradergometer/Spinning,"
"57701,46,6,Available,1,CrossCountry,,Athlete,,,9,63.000000000,""00:38:00"",""00:11:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
"57912,46,6,Available,1,CrossCountry,,Athlete,,,9,166.000000000,""01:00:00"",""00:07:00"",""00:07:00"",""00:09:00"",""00:07:00"",,Fusslauf"
"57929,46,6,Available,1,CrossCountry,,Athlete,,,9,109.000000000,""01:11:00"",""00:19:00"",""00:00:00"",""00:00:00"",""00:00:00"",,Rollski"
"57991,46,6,Available,1,CrossCountry,,Athlete,,,9,261.000000000,""03:40:00"",""00:19:00"",""00:01:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"58132,46,6,Available,1,CrossCountry,,Athlete,,,9,10.000000000,""00:10:00"",""00:00:00"",""00:00:00"",""00:00:00"",""00:00:00"",Rennvelo,"
"58213,46,6,Available,1,CrossCountry,,Athlete,,,9,63.000000000,""00:38:00"",""00:11:00"",""00:01:00"",""00:00:00"",""00:00:00"",,Rollski"
